DATE,NGMP35620
2001-01-01,943455.215
2002-01-01,956748.499
2003-01-01,978374.463
2004-01-01,1030208.245
2005-01-01,1087191.918
2006-01-01,1152952.015
2007-01-01,1200662.079
2008-01-01,1200903.861
2009-01-01,1228112.524
2010-01-01,1288303.129
2011-01-01,1312974.304
2012-01-01,1400779.267
2013-01-01,1445252.232
2014-01-01,1507782.786
2015-01-01,1570332.745
2016-01-01,1638128.941
2017-01-01,1691623.236
2018-01-01,1793777.173
2019-01-01,1877863.586
2020-01-01,1822415.022
2021-01-01,1992779.274
